problem_id,answer,rationale,raw_response
000,D,,
001,B,,
002,E,,
003,C,,
004,F,,
005,H,,
006,D,,
007,B,,
008,C,,
009,F,,
010,A,,
011,H,,
012,D,,
013,D,,
014,E,,
015,E,,
016,D,,
017,F,,
018,C,,
019,F,,
020,G,,
021,E,,
022,C,,
023,F,,
024,F,,
025,B,,
026,G,,
027,B,,
028,E,,
029,E,,
030,H,,
031,H,,
032,C,,
033,C,,
034,G,,
035,F,,
036,D,,
037,A,,
038,D,,
039,H,,
040,B,,
041,E,,
042,C,,
043,G,,
044,C,,
045,H,,
046,D,,
047,H,,
048,D,,
049,D,,
050,A,,
051,D,,
052,F,,
053,D,,
054,B,,
055,F,,
056,F,,
057,F,,
058,F,,
059,E,,
060,B,,
061,C,,
062,F,,
063,E,,
064,D,,
065,F,,
066,A,,
067,F,,
068,E,,
069,B,,
070,E,,
071,B,,
072,G,,
073,E,,
074,E,,
075,G,,
076,A,,
077,H,,
078,G,,
079,E,,
080,G,,
081,E,,
082,G,,
083,D,,
084,C,,
085,C,,
086,D,,
087,F,,
088,G,,
089,H,,
090,B,,
091,B,,
092,D,,
093,F,,
094,H,,
095,B,,
096,G,,
097,D,,
098,B,,
099,G,,
