problem_id,answer,rationale,raw_response,score,key
000,F,,,Wrong,D
001,A,,,Wrong,B
002,E,,,Right,E
003,G,,,Right,G
004,F,,,Right,F
005,H,,,Right,H
006,D,,,Right,D
007,B,,,Right,B
008,F,,,Right,F
009,F,,,Right,F
010,A,,,Right,A
011,A,,,Wrong,H
012,D,,,Right,D
013,E,,,Right,E
014,E,,,Right,E
015,E,,,Right,E
016,F,,,Wrong,D
017,F,,,Right,F
018,D,,,Wrong,C
019,F,,,Wrong,D
020,G,,,Wrong,H
021,E,,,Right,E
022,C,,,Right,C
023,F,,,Right,F
024,A,,,Wrong,F
025,B,,,Right,B
026,G,,,Right,G
027,B,,,Right,B
028,E,,,Right,E
029,A,,,Wrong,E
030,A,,,Wrong,H
031,D,,,Wrong,H
032,F,,,Wrong,C
033,C,,,Right,C
034,G,,,Right,G
035,F,,,Right,F
036,D,,,Right,D
037,H,,,Right,H
038,D,,,Wrong,E
039,H,,,Right,H
040,E,,,Wrong,B
041,E,,,Right,E
042,C,,,Wrong,E
043,H,,,Wrong,G
044,C,,,Right,C
045,H,,,Wrong,C
046,D,,,Right,D
047,H,,,Right,H
048,H,,,Wrong,D
049,D,,,Right,D
050,A,,,Right,A
051,D,,,Right,D
052,H,,,Right,H
053,D,,,Right,D
054,B,,,Right,B
055,F,,,Right,F
056,F,,,Right,F
057,H,,,Wrong,F
058,F,,,Right,F
059,E,,,Wrong,C
060,G,,,Wrong,B
061,C,,,Right,C
062,F,,,Wrong,H
063,E,,,Right,E
064,D,,,Right,D
065,F,,,Right,F
066,C,,,Wrong,A
067,F,,,Right,F
068,E,,,Right,E
069,B,,,Right,B
070,E,,,Right,E
071,B,,,Right,B
072,G,,,Right,G
073,D,,,Wrong,C
074,B,,,Wrong,E
075,G,,,Wrong,B
076,A,,,Right,A
077,H,,,Right,H
078,E,,,Wrong,G
079,G,,,Wrong,E
080,G,,,Right,G
081,E,,,Right,E
082,E,,,Wrong,G
083,E,,,Wrong,D
084,C,,,Right,C
085,C,,,Right,C
086,D,,,Right,D
087,H,,,Wrong,A
088,C,,,Wrong,G
089,H,,,Right,H
090,B,,,Right,B
091,B,,,Right,B
092,D,,,Right,D
093,F,,,Right,F
094,G,,,Wrong,H
095,B,,,Right,B
096,G,,,Wrong,C
097,D,,,Right,D
098,E,,,Wrong,B
099,G,,,Wrong,B
