problem_id,answer,rationale,raw_response
000,B,,
001,A,,
002,C,,
003,A,,
004,A,,
005,D,,
006,C,,
007,C,,
008,C,,
009,A,,
010,B,,
011,A,,
012,B,,
013,D,,
014,B,,
015,A,,
016,D,,
017,B,,
018,A,,
019,A,,
020,C,,
021,B,,
022,A,,
023,B,,
024,A,,
025,A,,
026,C,,
027,D,,
028,D,,
029,B,,
030,A,,
031,A,,
032,A,,
033,D,,
034,B,,
035,A,,
036,D,,
037,B,,
038,B,,
039,C,,
040,D,,
041,A,,
042,D,,
043,C,,
044,D,,
045,B,,
046,C,,
047,B,,
048,D,,
049,D,,
050,D,,
051,D,,
052,A,,
053,A,,
054,A,,
055,A,,
056,C,,
057,B,,
058,B,,
059,D,,
060,B,,
061,B,,
062,A,,
063,B,,
064,C,,
065,D,,
066,A,,
067,C,,
068,D,,
069,D,,
070,C,,
071,B,,
072,A,,
073,B,,
074,B,,
075,B,,
076,C,,
077,C,,
078,C,,
079,C,,
080,B,,
081,D,,
082,C,,
083,C,,
084,C,,
085,A,,
086,B,,
087,D,,
088,B,,
089,C,,
090,B,,
091,D,,
092,B,,
093,C,,
094,D,,
095,C,,
096,B,,
097,A,,
098,D,,
099,C,,
