problem_id,answer,rationale,raw_response,score,key
000,B,,,Wrong,C
001,A,,,Wrong,C
002,C,,,Wrong,B
003,A,,,Wrong,C
004,A,,,Wrong,B
005,D,,,Wrong,B
006,C,,,Wrong,B
007,C,,,Right,C
008,C,,,Right,C
009,A,,,Wrong,D
010,B,,,Wrong,D
011,A,,,Wrong,C
012,B,,,Wrong,D
013,D,,,Right,D
014,B,,,Wrong,D
015,A,,,Right,A
016,D,,,Right,D
017,B,,,Wrong,D
018,A,,,Right,A
019,A,,,Wrong,C
020,C,,,Right,C
021,B,,,Wrong,D
022,A,,,Wrong,C
023,B,,,Wrong,A
024,A,,,Right,A
025,A,,,Right,A
026,C,,,Right,C
027,D,,,Wrong,B
028,D,,,Wrong,A
029,B,,,Wrong,A
030,A,,,Wrong,C
031,A,,,Wrong,C
032,A,,,Wrong,B
033,D,,,Right,D
034,B,,,Right,B
035,A,,,Right,A
036,D,,,Right,D
037,B,,,Right,B
038,B,,,Wrong,A
039,C,,,Wrong,B
040,D,,,Wrong,B
041,A,,,Right,A
042,D,,,Wrong,A
043,C,,,Wrong,A
044,D,,,Right,D
045,B,,,Wrong,C
046,C,,,Right,C
047,B,,,Right,B
048,D,,,Wrong,A
049,D,,,Right,D
050,D,,,Right,D
051,D,,,Wrong,A
052,A,,,Wrong,C
053,A,,,Wrong,B
054,A,,,Wrong,C
055,A,,,Wrong,D
056,C,,,Wrong,D
057,B,,,Wrong,D
058,B,,,Right,B
059,D,,,Wrong,B
060,B,,,Wrong,C
061,B,,,Wrong,C
062,A,,,Wrong,C
063,B,,,Right,B
064,C,,,Wrong,A
065,D,,,Right,D
066,A,,,Right,A
067,C,,,Wrong,D
068,D,,,Wrong,A
069,D,,,Wrong,C
070,C,,,Right,C
071,B,,,Right,B
072,A,,,Wrong,B
073,B,,,Wrong,C
074,B,,,Right,B
075,B,,,Right,B
076,C,,,Right,C
077,C,,,Wrong,B
078,C,,,Wrong,D
079,C,,,Right,C
080,B,,,Right,B
081,D,,,Wrong,C
082,C,,,Right,C
083,C,,,Wrong,A
084,C,,,Wrong,A
085,A,,,Right,A
086,B,,,Wrong,C
087,D,,,Wrong,C
088,B,,,Right,B
089,C,,,Wrong,B
090,B,,,Wrong,C
091,D,,,Wrong,C
092,B,,,Wrong,A
093,C,,,Wrong,A
094,D,,,Wrong,C
095,C,,,Right,C
096,B,,,Right,B
097,A,,,Wrong,D
098,D,,,Right,D
099,C,,,Right,C
