problem_id,answer,rationale,raw_response,score,key
000,C,,,Right,C
001,B,,,Wrong,C
002,C,,,Wrong,B
003,B,,,Wrong,C
004,B,,,Right,B
005,D,,,Wrong,B
006,B,,,Right,B
007,C,,,Right,C
008,B,,,Wrong,C
009,C,,,Wrong,D
010,B,,,Wrong,D
011,B,,,Wrong,C
012,D,,,Right,D
013,D,,,Right,D
014,D,,,Right,D
015,A,,,Right,A
016,D,,,Right,D
017,B,,,Wrong,D
018,A,,,Right,A
019,C,,,Right,C
020,A,,,Wrong,C
021,C,,,Wrong,D
022,C,,,Right,C
023,A,,,Right,A
024,A,,,Right,A
025,D,,,Wrong,A
026,B,,,Wrong,C
027,A,,,Wrong,B
028,B,,,Wrong,A
029,B,,,Wrong,A
030,B,,,Wrong,C
031,A,,,Wrong,C
032,D,,,Wrong,B
033,B,,,Wrong,D
034,D,,,Wrong,B
035,B,,,Wrong,A
036,D,,,Right,D
037,B,,,Right,B
038,B,,,Wrong,A
039,B,,,Right,B
040,B,,,Right,B
041,B,,,Wrong,A
042,B,,,Wrong,A
043,B,,,Wrong,A
044,D,,,Right,D
045,D,,,Wrong,C
046,B,,,Wrong,C
047,C,,,Wrong,B
048,B,,,Wrong,A
049,C,,,Wrong,D
050,D,,,Right,D
051,A,,,Right,A
052,C,,,Right,C
053,D,,,Wrong,B
054,B,,,Wrong,C
055,D,,,Right,D
056,A,,,Wrong,D
057,D,,,Right,D
058,A,,,Wrong,B
059,B,,,Right,B
060,D,,,Wrong,C
061,A,,,Wrong,C
062,D,,,Wrong,C
063,B,,,Right,B
064,C,,,Wrong,A
065,D,,,Right,D
066,B,,,Wrong,A
067,C,,,Wrong,D
068,C,,,Wrong,A
069,D,,,Wrong,C
070,C,,,Right,C
071,B,,,Right,B
072,B,,,Right,B
073,C,,,Right,C
074,B,,,Right,B
075,A,,,Wrong,B
076,D,,,Wrong,C
077,B,,,Right,B
078,A,,,Wrong,D
079,C,,,Right,C
080,A,,,Wrong,B
081,D,,,Wrong,C
082,B,,,Wrong,C
083,A,,,Right,A
084,D,,,Wrong,A
085,A,,,Right,A
086,B,,,Wrong,C
087,D,,,Wrong,C
088,B,,,Right,B
089,A,,,Wrong,B
090,B,,,Wrong,C
091,B,,,Wrong,C
092,B,,,Wrong,A
093,C,,,Wrong,A
094,C,,,Right,C
095,C,,,Right,C
096,B,,,Right,B
097,C,,,Wrong,D
098,B,,,Wrong,D
099,C,,,Right,C
