problem_id,answer,rationale,raw_response
000,C,,
001,B,,
002,C,,
003,B,,
004,B,,
005,D,,
006,B,,
007,C,,
008,B,,
009,C,,
010,B,,
011,B,,
012,D,,
013,D,,
014,D,,
015,A,,
016,D,,
017,B,,
018,A,,
019,C,,
020,A,,
021,C,,
022,C,,
023,A,,
024,A,,
025,D,,
026,B,,
027,A,,
028,B,,
029,B,,
030,B,,
031,A,,
032,D,,
033,B,,
034,D,,
035,B,,
036,D,,
037,B,,
038,B,,
039,B,,
040,B,,
041,B,,
042,B,,
043,B,,
044,D,,
045,D,,
046,B,,
047,C,,
048,B,,
049,C,,
050,D,,
051,A,,
052,C,,
053,D,,
054,B,,
055,D,,
056,A,,
057,D,,
058,A,,
059,B,,
060,D,,
061,A,,
062,D,,
063,B,,
064,C,,
065,D,,
066,B,,
067,C,,
068,C,,
069,D,,
070,C,,
071,B,,
072,B,,
073,C,,
074,B,,
075,A,,
076,D,,
077,B,,
078,A,,
079,C,,
080,A,,
081,D,,
082,B,,
083,A,,
084,D,,
085,A,,
086,B,,
087,D,,
088,B,,
089,A,,
090,B,,
091,B,,
092,B,,
093,C,,
094,C,,
095,C,,
096,B,,
097,C,,
098,B,,
099,C,,
