problem_id,answer,rationale,raw_response
000,F,,
001,A,,
002,E,,
003,G,,
004,F,,
005,H,,
006,D,,
007,B,,
008,F,,
009,F,,
010,A,,
011,A,,
012,D,,
013,E,,
014,E,,
015,E,,
016,F,,
017,F,,
018,D,,
019,F,,
020,G,,
021,E,,
022,C,,
023,F,,
024,A,,
025,B,,
026,G,,
027,B,,
028,E,,
029,A,,
030,A,,
031,D,,
032,F,,
033,C,,
034,G,,
035,F,,
036,D,,
037,H,,
038,D,,
039,H,,
040,E,,
041,E,,
042,C,,
043,H,,
044,C,,
045,H,,
046,D,,
047,H,,
048,H,,
049,D,,
050,A,,
051,D,,
052,H,,
053,D,,
054,B,,
055,F,,
056,F,,
057,H,,
058,F,,
059,E,,
060,G,,
061,C,,
062,F,,
063,E,,
064,D,,
065,F,,
066,C,,
067,F,,
068,E,,
069,B,,
070,E,,
071,B,,
072,G,,
073,D,,
074,B,,
075,G,,
076,A,,
077,H,,
078,E,,
079,G,,
080,G,,
081,E,,
082,E,,
083,E,,
084,C,,
085,C,,
086,D,,
087,H,,
088,C,,
089,H,,
090,B,,
091,B,,
092,D,,
093,F,,
094,G,,
095,B,,
096,G,,
097,D,,
098,E,,
099,G,,
