problem_id,answer,rationale,raw_response,score,key
000,D,,,Right,D
001,B,,,Right,B
002,E,,,Right,E
003,C,,,Wrong,G
004,F,,,Right,F
005,H,,,Right,H
006,D,,,Right,D
007,B,,,Right,B
008,C,,,Wrong,F
009,F,,,Right,F
010,A,,,Right,A
011,H,,,Right,H
012,D,,,Right,D
013,D,,,Wrong,E
014,E,,,Right,E
015,E,,,Right,E
016,D,,,Right,D
017,F,,,Right,F
018,C,,,Right,C
019,F,,,Wrong,D
020,G,,,Wrong,H
021,E,,,Right,E
022,C,,,Right,C
023,F,,,Right,F
024,F,,,Right,F
025,B,,,Right,B
026,G,,,Right,G
027,B,,,Right,B
028,E,,,Right,E
029,E,,,Right,E
030,H,,,Right,H
031,H,,,Right,H
032,C,,,Right,C
033,C,,,Right,C
034,G,,,Right,G
035,F,,,Right,F
036,D,,,Right,D
037,A,,,Wrong,H
038,D,,,Wrong,E
039,H,,,Right,H
040,B,,,Right,B
041,E,,,Right,E
042,C,,,Wrong,E
043,G,,,Right,G
044,C,,,Right,C
045,H,,,Wrong,C
046,D,,,Right,D
047,H,,,Right,H
048,D,,,Right,D
049,D,,,Right,D
050,A,,,Right,A
051,D,,,Right,D
052,F,,,Wrong,H
053,D,,,Right,D
054,B,,,Right,B
055,F,,,Right,F
056,F,,,Right,F
057,F,,,Right,F
058,F,,,Right,F
059,E,,,Wrong,C
060,B,,,Right,B
061,C,,,Right,C
062,F,,,Wrong,H
063,E,,,Right,E
064,D,,,Right,D
065,F,,,Right,F
066,A,,,Right,A
067,F,,,Right,F
068,E,,,Right,E
069,B,,,Right,B
070,E,,,Right,E
071,B,,,Right,B
072,G,,,Right,G
073,E,,,Wrong,C
074,E,,,Right,E
075,G,,,Wrong,B
076,A,,,Right,A
077,H,,,Right,H
078,G,,,Right,G
079,E,,,Right,E
080,G,,,Right,G
081,E,,,Right,E
082,G,,,Right,G
083,D,,,Right,D
084,C,,,Right,C
085,C,,,Right,C
086,D,,,Right,D
087,F,,,Wrong,A
088,G,,,Right,G
089,H,,,Right,H
090,B,,,Right,B
091,B,,,Right,B
092,D,,,Right,D
093,F,,,Right,F
094,H,,,Right,H
095,B,,,Right,B
096,G,,,Wrong,C
097,D,,,Right,D
098,B,,,Right,B
099,G,,,Wrong,B
