problem_id,answer,rationale,raw_response,score,key
000,C,,,Right,C
001,C,,,Wrong,A
002,D,,,Right,D
003,D,,,Wrong,C
004,D,,,Wrong,B
005,C,,,Right,C
006,C,,,Right,C
007,C,,,Wrong,A
008,D,,,Right,D
009,B,,,Wrong,C
010,B,,,Right,B
011,D,,,Wrong,B
012,D,,,Right,D
013,C,,,Right,C
014,B,,,Wrong,A
015,C,,,Right,C
016,D,,,Wrong,B
017,C,,,Right,C
018,D,,,Wrong,A
019,C,,,Right,C
020,D,,,Wrong,C
021,C,,,Wrong,D
022,D,,,Right,D
023,D,,,Wrong,A
024,D,,,Right,D
025,D,,,Wrong,C
026,D,,,Right,D
027,D,,,Wrong,A
028,C,,,Wrong,B
029,C,,,Wrong,D
030,B,,,Wrong,D
031,D,,,Wrong,B
032,D,,,Wrong,B
033,D,,,Wrong,C
034,C,,,Right,C
035,B,,,Wrong,C
036,D,,,Wrong,B
037,D,,,Wrong,B
038,C,,,Right,C
039,D,,,Right,D
040,D,,,Right,D
041,C,,,Wrong,A
042,B,,,Wrong,C
043,D,,,Right,D
044,C,,,Wrong,B
045,C,,,Right,C
046,D,,,Right,D
047,C,,,Wrong,D
048,D,,,Wrong,C
049,B,,,Wrong,C
050,D,,,Wrong,C
051,C,,,Wrong,A
052,C,,,Right,C
053,B,,,Wrong,D
054,D,,,Wrong,B
055,C,,,Right,C
056,D,,,Right,D
057,D,,,Wrong,C
058,D,,,Right,D
059,D,,,Wrong,C
060,C,,,Right,C
061,B,,,Wrong,D
062,D,,,Wrong,C
063,B,,,Wrong,C
064,D,,,Right,D
065,C,,,Wrong,D
066,C,,,Wrong,B
067,C,,,Wrong,A
068,D,,,Wrong,C
069,D,,,Wrong,C
070,B,,,Wrong,D
071,C,,,Wrong,B
072,D,,,Wrong,C
073,D,,,Wrong,C
074,B,,,Wrong,D
075,B,,,Right,B
076,D,,,Wrong,B
077,B,,,Right,B
078,D,,,Right,D
079,D,,,Wrong,B
080,C,,,Right,C
081,C,,,Right,C
082,D,,,Right,D
083,D,,,Wrong,A
084,C,,,Right,C
085,B,,,Wrong,D
086,B,,,Right,B
087,B,,,Wrong,C
088,C,,,Wrong,B
089,C,,,Wrong,D
090,C,,,Wrong,B
091,D,,,Right,D
092,D,,,Wrong,A
093,D,,,Right,D
094,D,,,Right,D
095,D,,,Right,D
096,D,,,Wrong,A
097,D,,,Right,D
098,C,,,Wrong,A
099,D,,,Right,D
