problem_id,answer,rationale,raw_response,score,key
000,D,,,Wrong,C
001,D,,,Wrong,A
002,B,,,Wrong,D
003,D,,,Wrong,C
004,B,,,Right,B
005,B,,,Wrong,C
006,A,,,Wrong,C
007,B,,,Wrong,A
008,D,,,Right,D
009,D,,,Wrong,C
010,B,,,Right,B
011,D,,,Wrong,B
012,B,,,Wrong,D
013,B,,,Wrong,C
014,B,,,Wrong,A
015,D,,,Wrong,C
016,D,,,Wrong,B
017,C,,,Right,C
018,C,,,Wrong,A
019,C,,,Right,C
020,C,,,Right,C
021,B,,,Wrong,D
022,C,,,Wrong,D
023,D,,,Wrong,A
024,C,,,Wrong,D
025,B,,,Wrong,C
026,D,,,Right,D
027,D,,,Wrong,A
028,B,,,Right,B
029,D,,,Right,D
030,D,,,Right,D
031,B,,,Right,B
032,D,,,Wrong,B
033,B,,,Wrong,C
034,D,,,Wrong,C
035,D,,,Wrong,C
036,C,,,Wrong,B
037,C,,,Wrong,B
038,D,,,Wrong,C
039,C,,,Wrong,D
040,B,,,Wrong,D
041,D,,,Wrong,A
042,D,,,Wrong,C
043,D,,,Right,D
044,C,,,Wrong,B
045,D,,,Wrong,C
046,D,,,Right,D
047,B,,,Wrong,D
048,D,,,Wrong,C
049,C,,,Right,C
050,D,,,Wrong,C
051,C,,,Wrong,A
052,C,,,Right,C
053,D,,,Right,D
054,B,,,Right,B
055,A,,,Wrong,C
056,D,,,Right,D
057,D,,,Wrong,C
058,B,,,Wrong,D
059,B,,,Wrong,C
060,D,,,Wrong,C
061,D,,,Right,D
062,A,,,Wrong,C
063,D,,,Wrong,C
064,D,,,Right,D
065,D,,,Right,D
066,B,,,Right,B
067,D,,,Wrong,A
068,D,,,Wrong,C
069,D,,,Wrong,C
070,D,,,Right,D
071,C,,,Wrong,B
072,B,,,Wrong,C
073,C,,,Right,C
074,A,,,Wrong,D
075,C,,,Wrong,B
076,C,,,Wrong,B
077,D,,,Wrong,B
078,D,,,Right,D
079,B,,,Right,B
080,C,,,Right,C
081,D,,,Wrong,C
082,C,,,Wrong,D
083,D,,,Wrong,A
084,C,,,Right,C
085,D,,,Right,D
086,A,,,Wrong,B
087,D,,,Wrong,C
088,C,,,Wrong,B
089,D,,,Right,D
090,C,,,Wrong,B
091,D,,,Right,D
092,C,,,Wrong,A
093,B,,,Wrong,D
094,B,,,Wrong,D
095,D,,,Right,D
096,A,,,Right,A
097,C,,,Wrong,D
098,C,,,Wrong,A
099,C,,,Wrong,D
