problem_id,answer,rationale,raw_response
000,D,,
001,D,,
002,B,,
003,D,,
004,B,,
005,B,,
006,A,,
007,B,,
008,D,,
009,D,,
010,B,,
011,D,,
012,B,,
013,B,,
014,B,,
015,D,,
016,D,,
017,C,,
018,C,,
019,C,,
020,C,,
021,B,,
022,C,,
023,D,,
024,C,,
025,B,,
026,D,,
027,D,,
028,B,,
029,D,,
030,D,,
031,B,,
032,D,,
033,B,,
034,D,,
035,D,,
036,C,,
037,C,,
038,D,,
039,C,,
040,B,,
041,D,,
042,D,,
043,D,,
044,C,,
045,D,,
046,D,,
047,B,,
048,D,,
049,C,,
050,D,,
051,C,,
052,C,,
053,D,,
054,B,,
055,A,,
056,D,,
057,D,,
058,B,,
059,B,,
060,D,,
061,D,,
062,A,,
063,D,,
064,D,,
065,D,,
066,B,,
067,D,,
068,D,,
069,D,,
070,D,,
071,C,,
072,B,,
073,C,,
074,A,,
075,C,,
076,C,,
077,D,,
078,D,,
079,B,,
080,C,,
081,D,,
082,C,,
083,D,,
084,C,,
085,D,,
086,A,,
087,D,,
088,C,,
089,D,,
090,C,,
091,D,,
092,C,,
093,B,,
094,B,,
095,D,,
096,A,,
097,C,,
098,C,,
099,C,,
